frame,shape,before_render_us,after_render_us,delta_render_us,before_wall_us,after_wall_us
2,dodecahedron_hk62_ambo_hk62,8725,8951,226,8725,8951
3,dodecahedron_hk62_ambo_hk62,7851,8082,231,61585,61591
4,dodecahedron_hk62_ambo_hk62,9166,9386,220,63775,63766
5,dodecahedron_hk62_ambo_hk62,13257,13532,275,66544,66602
6,dodecahedron_hk62_ambo_hk62,14615,14831,216,63815,63738
7,dodecahedron_hk62_ambo_hk62,12232,12414,182,60075,60039
8,dodecahedron_hk62_ambo_hk62,13555,13734,179,63783,63778
9,dodecahedron_hk62_ambo_hk62,13868,14206,338,62772,62930
10,dodecahedron_hk62_ambo_hk62,14710,14910,200,63293,63163
11,dodecahedron_hk62_ambo_hk62,14346,14570,224,62084,62120
12,dodecahedron_hk62_ambo_hk62,17129,17378,249,65240,65274
13,dodecahedron_hk62_ambo_hk62,16277,16582,305,61562,61695
14,dodecahedron_hk62_ambo_hk62,16087,16385,298,62324,62255
15,dodecahedron_hk62_ambo_hk62,14864,15209,345,61240,61286
16,dodecahedron_hk62_ambo_hk62,14561,14863,302,62160,62114
17,dodecahedron_hk62_ambo_hk62,13796,14193,397,61376,61473
18,dodecahedron_hk62_ambo_hk62,17833,18256,423,66498,66530
19,dodecahedron_hk62_ambo_hk62,22201,22812,611,66797,66978
20,dodecahedron_hk62_ambo_hk62,21191,21709,518,61451,61358
21,dodecahedron_hk62_ambo_hk62,19685,20014,329,60959,60762
22,dodecahedron_hk62_ambo_hk62,21170,21374,204,63946,63819
23,dodecahedron_hk62_ambo_hk62,20820,21085,265,62108,62172
24,dodecahedron_hk62_ambo_hk62,21782,22051,269,63407,63423
25,dodecahedron_hk62_ambo_hk62,22041,22366,325,62724,62775
26,dodecahedron_hk62_ambo_hk62,21576,22304,728,61992,62398
27,dodecahedron_hk62_ambo_hk62,19625,20329,704,60509,60541
28,dodecahedron_hk62_ambo_hk62,20073,20760,687,62961,62891
29,dodecahedron_hk62_ambo_hk62,19776,20524,748,62164,62230
30,dodecahedron_hk62_ambo_hk62,20146,20835,689,62836,62774
31,dodecahedron_hk62_ambo_hk62,20071,20694,623,62384,62320
32,dodecahedron_hk62_ambo_hk62,20455,21072,617,62846,62839
33,dodecahedron_hk62_ambo_hk62,20445,21108,663,62144,62172
34,dodecahedron_hk62_ambo_hk62,21768,22402,634,63786,63756
35,dodecahedron_hk62_ambo_hk62,20792,21434,642,61486,61495
36,dodecahedron_hk62_ambo_hk62,22417,23151,734,64076,64179
37,dodecahedron_hk62_ambo_hk62,21426,22060,634,61469,61368
38,dodecahedron_hk62_ambo_hk62,21844,22608,764,62880,63016
39,dodecahedron_hk62_ambo_hk62,21711,22457,746,62335,62308
40,dodecahedron_hk62_ambo_hk62,22969,23642,673,63709,63701
41,dodecahedron_hk62_ambo_hk62,22707,23368,661,62242,62186
42,dodecahedron_hk62_ambo_hk62,22328,23130,802,62088,62220
43,dodecahedron_hk62_ambo_hk62,22200,22871,671,62338,62201
44,dodecahedron_hk62_ambo_hk62,23300,24019,719,63562,63616
45,dodecahedron_hk62_ambo_hk62,22702,23498,796,61862,61939
46,dodecahedron_hk62_ambo_hk62,22122,22837,715,61882,61802
47,dodecahedron_hk62_ambo_hk62,22507,23190,683,62838,62814
48,dodecahedron_hk62_ambo_hk62,22223,22990,767,62178,62262
49,dodecahedron_hk62_ambo_hk62,22942,23675,733,62947,62893
50,dodecahedron_hk62_ambo_hk62,20836,21436,600,60356,60221
51,dodecahedron_hk62_ambo_hk62,22103,22712,609,63728,63737
52,dodecahedron_hk62_ambo_hk62,21421,22087,666,61766,61842
53,dodecahedron_hk62_ambo_hk62,21884,22585,701,62925,62960
54,dodecahedron_hk62_ambo_hk62,21287,21961,674,61861,61875
55,dodecahedron_hk62_ambo_hk62,21082,21775,693,62299,62274
56,dodecahedron_hk62_ambo_hk62,20971,21655,684,62356,62340
57,dodecahedron_hk62_ambo_hk62,21109,21832,723,62605,62639
58,dodecahedron_hk62_ambo_hk62,20764,21489,725,62116,62119
59,dodecahedron_hk62_ambo_hk62,20736,21392,656,62431,62365
60,dodecahedron_hk62_ambo_hk62,20734,21500,766,62459,62570
61,dodecahedron_hk62_ambo_hk62,20487,21151,664,62214,62111
62,dodecahedron_hk62_ambo_hk62,20692,21399,707,62674,62710
63,dodecahedron_hk62_ambo_hk62,20309,21042,733,62079,62103
64,dodecahedron_hk62_ambo_hk62,21154,21803,649,63307,63222
65,dodecahedron_hk62_ambo_hk62,19893,20583,690,60946,61000
66,dodecahedron_hk62_ambo_hk62,21161,21725,564,63727,63604
67,dodecahedron_hk62_ambo_hk62,20175,20788,613,61475,61579
68,dodecahedron_hk62_ambo_hk62,21279,21905,626,63620,63570
69,dodecahedron_hk62_ambo_hk62,20211,20816,605,61391,61369
70,truncatedIcosahedron_hk58_chamfer63,1887,1836,-51,44138,43478
71,truncatedIcosahedron_hk58_chamfer63,9736,10093,357,70303,70715
72,truncatedIcosahedron_hk58_chamfer63,9897,10192,295,62625,62561
73,truncatedIcosahedron_hk58_chamfer63,9694,10073,379,62259,62343
74,truncatedIcosahedron_hk58_chamfer63,11221,11591,370,63996,63987
75,truncatedIcosahedron_hk58_chamfer63,17978,18356,378,69187,69177
76,truncatedIcosahedron_hk58_chamfer63,17555,17906,351,62033,62008
77,truncatedIcosahedron_hk58_chamfer63,16733,17049,316,61636,61601
78,truncatedIcosahedron_hk58_chamfer63,18009,18121,112,63733,63531
79,truncatedIcosahedron_hk58_chamfer63,16445,16980,535,60895,61320
80,truncatedIcosahedron_hk58_chamfer63,16798,17168,370,62791,62648
81,truncatedIcosahedron_hk58_chamfer63,16671,17051,380,62013,62070
82,truncatedIcosahedron_hk58_chamfer63,23267,23559,292,69108,68969
83,truncatedIcosahedron_hk58_chamfer63,27884,29437,1553,67054,68321
84,truncatedIcosahedron_hk58_chamfer63,27291,28888,1597,61865,61900
85,truncatedIcosahedron_hk58_chamfer63,25833,27497,1664,61000,61050
86,truncatedIcosahedron_hk58_chamfer63,25989,27655,1666,62613,62603
87,truncatedIcosahedron_hk58_chamfer63,26669,28491,1822,63138,63281
88,truncatedIcosahedron_hk58_chamfer63,27731,29488,1757,63527,63443
89,truncatedIcosahedron_hk58_chamfer63,25674,27501,1827,60378,60473
90,truncatedIcosahedron_hk58_chamfer63,25914,27679,1765,62701,62639
91,truncatedIcosahedron_hk58_chamfer63,25660,27353,1693,62214,62135
92,truncatedIcosahedron_hk58_chamfer63,25859,27776,1917,62662,62884
93,truncatedIcosahedron_hk58_chamfer63,26026,27699,1673,62630,62383
94,truncatedIcosahedron_hk58_chamfer63,26554,28376,1822,62972,63200
95,truncatedIcosahedron_hk58_chamfer63,26326,27923,1597,62287,62008
96,truncatedIcosahedron_hk58_chamfer63,26963,28703,1740,63097,63246
97,truncatedIcosahedron_hk58_chamfer63,26989,28934,1945,62183,62378
98,truncatedIcosahedron_hk58_chamfer63,28221,30047,1826,63694,63573
99,truncatedIcosahedron_hk58_chamfer63,27162,28826,1664,61402,61240
100,truncatedIcosahedron_hk58_chamfer63,27710,29439,1729,63014,63074
101,truncatedIcosahedron_hk58_chamfer63,28056,29686,1630,62805,62714
102,truncatedIcosahedron_hk58_chamfer63,28749,30495,1746,63155,63270
103,truncatedIcosahedron_hk58_chamfer63,27033,28585,1552,60745,60551
104,truncatedIcosahedron_hk58_chamfer63,28546,30504,1958,63974,64381
105,truncatedIcosahedron_hk58_chamfer63,28649,30339,1690,62554,62296
106,truncatedIcosahedron_hk58_chamfer63,28817,30638,1821,62630,62750
107,truncatedIcosahedron_hk58_chamfer63,28084,29649,1565,61728,61470
108,truncatedIcosahedron_hk58_chamfer63,28526,30473,1947,62910,63339
109,truncatedIcosahedron_hk58_chamfer63,28333,30054,1721,62322,62042
110,truncatedIcosahedron_hk58_chamfer63,27791,29639,1848,61919,62047
111,truncatedIcosahedron_hk58_chamfer63,27966,29548,1582,62636,62369
112,truncatedIcosahedron_hk58_chamfer63,27276,28929,1653,61771,61848
113,truncatedIcosahedron_hk58_chamfer63,27777,29345,1568,62701,62623
114,truncatedIcosahedron_hk58_chamfer63,27111,28762,1651,61795,61879
115,truncatedIcosahedron_hk58_chamfer63,27307,28889,1582,62655,62589
116,truncatedIcosahedron_hk58_chamfer63,27175,28780,1605,62312,62353
117,truncatedIcosahedron_hk58_chamfer63,26786,28465,1679,62073,62145
118,truncatedIcosahedron_hk58_chamfer63,26935,28570,1635,62611,62564
119,truncatedIcosahedron_hk58_chamfer63,26426,28061,1635,61952,61958
120,truncatedIcosahedron_hk58_chamfer63,26443,28125,1682,62479,62524
121,truncatedIcosahedron_hk58_chamfer63,26112,27882,1770,62120,62217
122,truncatedIcosahedron_hk58_chamfer63,26357,28075,1718,62760,62709
123,truncatedIcosahedron_hk58_chamfer63,25875,27545,1670,61979,61931
124,truncatedIcosahedron_hk58_chamfer63,26230,27926,1696,62817,62841
125,truncatedIcosahedron_hk58_chamfer63,25503,27188,1685,61733,61723
126,truncatedIcosahedron_hk58_chamfer63,25742,27541,1799,62701,62815
127,truncatedIcosahedron_hk58_chamfer63,25686,27421,1735,62404,62348
128,truncatedIcosahedron_hk58_chamfer63,25894,27516,1622,62669,62555
129,truncatedIcosahedron_hk58_chamfer63,26198,27974,1776,62514,62666
130,truncatedIcosahedron_hk58_chamfer63,26333,28002,1669,62597,62495
131,truncatedIcosahedron_hk58_chamfer63,25946,27778,1832,62073,62238
132,dodecahedron_ambo_bevel33_relax_hk66,1525,1542,17,38040,36226
133,dodecahedron_ambo_bevel33_relax_hk66,7623,7817,194,68552,68730
134,dodecahedron_ambo_bevel33_relax_hk66,8040,8223,183,62877,62868
135,dodecahedron_ambo_bevel33_relax_hk66,7566,7765,199,61986,62055
136,dodecahedron_ambo_bevel33_relax_hk66,8127,8336,209,63077,63033
137,dodecahedron_ambo_bevel33_relax_hk66,9172,9455,283,63461,63548
