frame,shape,before_render_us,after_render_us,delta_render_us,before_wall_us,after_wall_us
2,dodecahedron_hk62_ambo_hk62,8691,8947,256,8691,8947
3,dodecahedron_hk62_ambo_hk62,7814,8098,284,61583,61605
4,dodecahedron_hk62_ambo_hk62,8946,9263,317,63594,63623
5,dodecahedron_hk62_ambo_hk62,13147,13426,279,66660,66621
6,dodecahedron_hk62_ambo_hk62,14551,14734,183,63865,63757
7,dodecahedron_hk62_ambo_hk62,12115,12293,178,60024,60011
8,dodecahedron_hk62_ambo_hk62,13441,13629,188,63778,63794
9,dodecahedron_hk62_ambo_hk62,13791,14103,312,62802,62934
10,dodecahedron_hk62_ambo_hk62,14595,14811,216,63265,63168
11,dodecahedron_hk62_ambo_hk62,14252,14465,213,62118,62113
12,dodecahedron_hk62_ambo_hk62,17457,17624,167,65666,65619
13,dodecahedron_hk62_ambo_hk62,16235,16528,293,61229,61348
14,dodecahedron_hk62_ambo_hk62,16060,16326,266,62337,62300
15,dodecahedron_hk62_ambo_hk62,14842,15195,353,61243,61320
16,dodecahedron_hk62_ambo_hk62,14542,14864,322,62167,62116
17,dodecahedron_hk62_ambo_hk62,13800,14155,355,61361,61401
18,dodecahedron_hk62_ambo_hk62,18428,18893,465,67089,67191
19,dodecahedron_hk62_ambo_hk62,22631,23212,581,66653,66762
20,dodecahedron_hk62_ambo_hk62,21329,21862,533,61152,61107
21,dodecahedron_hk62_ambo_hk62,19801,20093,292,60936,60690
22,dodecahedron_hk62_ambo_hk62,21331,21526,195,63992,63892
23,dodecahedron_hk62_ambo_hk62,20927,21175,248,62057,62106
24,dodecahedron_hk62_ambo_hk62,21910,22200,290,63443,63484
25,dodecahedron_hk62_ambo_hk62,22155,22468,313,62707,62727
26,dodecahedron_hk62_ambo_hk62,21968,22765,797,62274,62757
27,dodecahedron_hk62_ambo_hk62,19663,20457,794,60208,60153
28,dodecahedron_hk62_ambo_hk62,20106,20900,794,62899,62957
29,dodecahedron_hk62_ambo_hk62,19818,20686,868,62180,62246
30,dodecahedron_hk62_ambo_hk62,20148,20928,780,62790,62701
31,dodecahedron_hk62_ambo_hk62,20108,20836,728,62419,62366
32,dodecahedron_hk62_ambo_hk62,20498,21205,707,62852,62829
33,dodecahedron_hk62_ambo_hk62,20492,21268,776,62103,62180
34,dodecahedron_hk62_ambo_hk62,21797,22537,740,63765,63728
35,dodecahedron_hk62_ambo_hk62,20854,21594,740,61517,61507
36,dodecahedron_hk62_ambo_hk62,22471,23315,844,64079,64180
37,dodecahedron_hk62_ambo_hk62,21459,22213,754,61449,61355
38,dodecahedron_hk62_ambo_hk62,21890,22767,877,62893,63013
39,dodecahedron_hk62_ambo_hk62,21770,22645,875,62342,62343
40,dodecahedron_hk62_ambo_hk62,23003,23757,754,63694,63572
41,dodecahedron_hk62_ambo_hk62,22755,23539,784,62267,62296
42,dodecahedron_hk62_ambo_hk62,22384,23289,905,62089,62210
43,dodecahedron_hk62_ambo_hk62,22243,23004,761,62327,62175
44,dodecahedron_hk62_ambo_hk62,23378,24200,822,63598,63656
45,dodecahedron_hk62_ambo_hk62,22753,23653,900,61836,61912
46,dodecahedron_hk62_ambo_hk62,22209,22979,770,61917,61786
47,dodecahedron_hk62_ambo_hk62,22537,23318,781,62786,62786
48,dodecahedron_hk62_ambo_hk62,22297,23168,871,62214,62310
49,dodecahedron_hk62_ambo_hk62,22988,23816,828,62869,62821
50,dodecahedron_hk62_ambo_hk62,20934,21611,677,60397,60256
51,dodecahedron_hk62_ambo_hk62,22164,22864,700,63691,63709
52,dodecahedron_hk62_ambo_hk62,21517,22276,759,61813,61870
53,dodecahedron_hk62_ambo_hk62,21937,22757,820,62889,62938
54,dodecahedron_hk62_ambo_hk62,21413,22177,764,61940,61877
55,dodecahedron_hk62_ambo_hk62,21136,21932,796,62238,62269
56,dodecahedron_hk62_ambo_hk62,21067,21847,780,62394,62373
57,dodecahedron_hk62_ambo_hk62,21166,21983,817,62559,62596
58,dodecahedron_hk62_ambo_hk62,20885,21683,798,62177,62157
59,dodecahedron_hk62_ambo_hk62,20804,21562,758,62381,62327
60,dodecahedron_hk62_ambo_hk62,20845,21722,877,62491,62619
61,dodecahedron_hk62_ambo_hk62,20530,21297,767,62145,62033
62,dodecahedron_hk62_ambo_hk62,20751,21599,848,62681,62760
63,dodecahedron_hk62_ambo_hk62,20359,21194,835,62068,62053
64,dodecahedron_hk62_ambo_hk62,21219,21998,779,63312,63264
65,dodecahedron_hk62_ambo_hk62,19910,20676,766,60867,60851
66,dodecahedron_hk62_ambo_hk62,21213,21893,680,63765,63677
67,dodecahedron_hk62_ambo_hk62,20265,20996,731,61514,61560
68,dodecahedron_hk62_ambo_hk62,21421,22155,734,63672,63673
69,dodecahedron_hk62_ambo_hk62,20292,21032,740,61333,61334
70,truncatedIcosahedron_hk58_chamfer63,2028,2018,-10,44198,43442
71,truncatedIcosahedron_hk58_chamfer63,9709,10079,370,70140,70516
72,truncatedIcosahedron_hk58_chamfer63,9888,10234,346,62641,62614
73,truncatedIcosahedron_hk58_chamfer63,9684,10065,381,62258,62288
74,truncatedIcosahedron_hk58_chamfer63,11197,11626,429,63974,64019
75,truncatedIcosahedron_hk58_chamfer63,17948,18370,422,69201,69195
76,truncatedIcosahedron_hk58_chamfer63,17552,17887,335,62065,61978
77,truncatedIcosahedron_hk58_chamfer63,16690,17011,321,61600,61582
78,truncatedIcosahedron_hk58_chamfer63,18002,18101,99,63779,63549
79,truncatedIcosahedron_hk58_chamfer63,16439,17040,601,60898,61399
80,truncatedIcosahedron_hk58_chamfer63,16804,17211,407,62826,62631
81,truncatedIcosahedron_hk58_chamfer63,16661,17066,405,61971,61961
82,truncatedIcosahedron_hk58_chamfer63,24483,24886,403,70338,70335
83,truncatedIcosahedron_hk58_chamfer63,28340,30026,1686,66296,67585
84,truncatedIcosahedron_hk58_chamfer63,27805,29526,1721,61919,61949
85,truncatedIcosahedron_hk58_chamfer63,26274,28062,1788,60925,60988
86,truncatedIcosahedron_hk58_chamfer63,26477,28297,1820,62660,62684
87,truncatedIcosahedron_hk58_chamfer63,26934,28903,1969,62915,63056
88,truncatedIcosahedron_hk58_chamfer63,28956,30848,1892,64481,64394
89,truncatedIcosahedron_hk58_chamfer63,25906,27920,2014,59407,59519
90,truncatedIcosahedron_hk58_chamfer63,26181,28115,1934,62737,62639
91,truncatedIcosahedron_hk58_chamfer63,26173,28042,1869,62459,62378
92,truncatedIcosahedron_hk58_chamfer63,26125,28240,2115,62412,62650
93,truncatedIcosahedron_hk58_chamfer63,26250,28107,1857,62591,62316
94,truncatedIcosahedron_hk58_chamfer63,26833,28844,2011,63044,63198
95,truncatedIcosahedron_hk58_chamfer63,26554,28337,1783,62242,62007
96,truncatedIcosahedron_hk58_chamfer63,27224,29149,1925,63132,63270
97,truncatedIcosahedron_hk58_chamfer63,27219,29373,2154,62103,62331
98,truncatedIcosahedron_hk58_chamfer63,28512,30528,2016,63752,63613
99,truncatedIcosahedron_hk58_chamfer63,27407,29240,1833,61362,61169
100,truncatedIcosahedron_hk58_chamfer63,27973,29879,1906,63027,63099
101,truncatedIcosahedron_hk58_chamfer63,28306,30103,1797,62801,62682
102,truncatedIcosahedron_hk58_chamfer63,29002,30929,1927,63157,63286
103,truncatedIcosahedron_hk58_chamfer63,27243,28955,1712,60708,60468
104,truncatedIcosahedron_hk58_chamfer63,28823,30976,2153,64043,64479
105,truncatedIcosahedron_hk58_chamfer63,28891,30759,1868,62529,62243
106,truncatedIcosahedron_hk58_chamfer63,29103,31108,2005,62673,62808
107,truncatedIcosahedron_hk58_chamfer63,28319,30033,1714,61676,61366
108,truncatedIcosahedron_hk58_chamfer63,28806,30948,2142,62948,63373
109,truncatedIcosahedron_hk58_chamfer63,28592,30490,1898,62301,62054
110,truncatedIcosahedron_hk58_chamfer63,28072,30100,2028,61941,62070
111,truncatedIcosahedron_hk58_chamfer63,28198,29956,1758,62587,62316
112,truncatedIcosahedron_hk58_chamfer63,27570,29390,1820,61823,61892
113,truncatedIcosahedron_hk58_chamfer63,28014,29777,1763,62615,62556
114,truncatedIcosahedron_hk58_chamfer63,27414,29207,1793,61861,61890
115,truncatedIcosahedron_hk58_chamfer63,27566,29334,1768,62613,62585
116,truncatedIcosahedron_hk58_chamfer63,27463,29239,1776,62352,62362
117,truncatedIcosahedron_hk58_chamfer63,27040,28905,1865,62037,62126
118,truncatedIcosahedron_hk58_chamfer63,27208,29011,1803,62628,62565
119,truncatedIcosahedron_hk58_chamfer63,26699,28497,1798,61951,61944
120,truncatedIcosahedron_hk58_chamfer63,26793,28610,1817,62550,62568
121,truncatedIcosahedron_hk58_chamfer63,26360,28325,1965,62028,62144
122,truncatedIcosahedron_hk58_chamfer63,26646,28520,1874,62803,62691
